FontName,ActualChar,sim0,sim1,sim2,sim3
ABeeZee-Italic,a,u,U,n,N
ABeeZee-Italic,b,d,D,o,O
ABeeZee-Italic,c,r,R,a,A
ABeeZee-Italic,d,p,P,a,A
ABeeZee-Italic,e,c,C,o,O
ABeeZee-Italic,f,j,J,e,E
ABeeZee-Italic,g,y,Y,q,Q
ABeeZee-Italic,h,n,N,k,K
ABeeZee-Italic,i,j,J,l,L
ABeeZee-Italic,j,i,I,d,D
ABeeZee-Italic,k,r,R,x,X
ABeeZee-Italic,l,i,I,z,Z
ABeeZee-Italic,m,n,N,x,X
ABeeZee-Italic,n,u,U,v,V
ABeeZee-Italic,o,u,U,v,V
ABeeZee-Italic,p,r,R,m,M
ABeeZee-Italic,q,g,G,p,P
ABeeZee-Italic,r,y,Y,x,X
ABeeZee-Italic,s,c,C,g,G
ABeeZee-Italic,t,r,R,k,K
ABeeZee-Italic,u,v,V,n,N
ABeeZee-Italic,v,u,U,d,D
ABeeZee-Italic,w,v,V,n,N
ABeeZee-Italic,x,k,K,c,C
ABeeZee-Italic,y,g,G,u,U
ABeeZee-Italic,z,s,S,e,E
ABeeZee-Regular,a,u,U,n,N
ABeeZee-Regular,b,d,D,p,P
ABeeZee-Regular,c,e,E,r,R
ABeeZee-Regular,d,p,P,b,B
ABeeZee-Regular,e,z,Z,s,S
ABeeZee-Regular,f,r,R,k,K
ABeeZee-Regular,g,q,Q,y,Y
ABeeZee-Regular,h,n,N,k,K
ABeeZee-Regular,i,l,L,j,J
ABeeZee-Regular,j,i,I,s,S
ABeeZee-Regular,k,r,R,h,H
ABeeZee-Regular,l,i,I,z,Z
ABeeZee-Regular,m,n,N,w,W
ABeeZee-Regular,n,u,U,r,R
ABeeZee-Regular,o,u,U,a,A
ABeeZee-Regular,p,r,R,m,M
ABeeZee-Regular,q,a,A,p,P
ABeeZee-Regular,r,n,N,k,K
ABeeZee-Regular,s,b,B,g,G
ABeeZee-Regular,t,z,Z,k,K
ABeeZee-Regular,u,a,A,n,N
ABeeZee-Regular,v,u,U,o,O
ABeeZee-Regular,w,v,V,n,N
ABeeZee-Regular,x,w,W,k,K
ABeeZee-Regular,y,g,G,s,S
ABeeZee-Regular,z,s,S,e,E
Abel-Regular,a,n,N,s,S
Abel-Regular,b,o,O,v,V
Abel-Regular,c,r,R,o,O
Abel-Regular,d,b,B,q,Q
Abel-Regular,e,o,O,c,C
Abel-Regular,f,s,S,r,R
Abel-Regular,g,s,S,q,Q
Abel-Regular,h,b,B,k,K
Abel-Regular,i,j,J,l,L
Abel-Regular,j,i,I,g,G
Abel-Regular,k,r,R,x,X
Abel-Regular,l,i,I,j,J
Abel-Regular,m,n,N,w,W
Abel-Regular,n,u,U,o,O
Abel-Regular,o,u,U,d,D
Abel-Regular,p,r,R,q,Q
Abel-Regular,q,p,P,g,G
Abel-Regular,r,n,N,p,P
Abel-Regular,s,g,G,e,E
Abel-Regular,t,i,I,l,L
Abel-Regular,u,a,A,v,V
Abel-Regular,v,u,U,o,O
Abel-Regular,w,v,V,n,N
Abel-Regular,x,g,G,k,K
Abel-Regular,y,x,X,g,G
Abel-Regular,z,e,E,s,S
AbrilFatface-Regular,a,n,N,d,D
AbrilFatface-Regular,b,h,H,d,D
AbrilFatface-Regular,c,r,R,o,O
AbrilFatface-Regular,d,a,A,u,U
AbrilFatface-Regular,e,c,C,o,O
AbrilFatface-Regular,f,e,E,g,G
AbrilFatface-Regular,g,o,O,q,Q
AbrilFatface-Regular,h,b,B,l,L
AbrilFatface-Regular,i,l,L,j,J
AbrilFatface-Regular,j,i,I,d,D
AbrilFatface-Regular,k,r,R,t,T
AbrilFatface-Regular,l,i,I,z,Z
AbrilFatface-Regular,m,w,W,o,O
AbrilFatface-Regular,n,m,M,a,A
AbrilFatface-Regular,o,e,E,c,C
AbrilFatface-Regular,p,r,R,e,E
AbrilFatface-Regular,q,g,G,a,A
AbrilFatface-Regular,r,c,C,n,N
AbrilFatface-Regular,s,a,A,c,C
AbrilFatface-Regular,t,i,I,l,L
AbrilFatface-Regular,u,v,V,a,A
AbrilFatface-Regular,v,u,U,n,N
AbrilFatface-Regular,w,v,V,n,N
AbrilFatface-Regular,x,k,K,a,A
AbrilFatface-Regular,y,x,X,s,S
AbrilFatface-Regular,z,r,R,t,T
Aclonica,a,u,U,o,O
Aclonica,b,d,D,s,S
Aclonica,c,o,O,s,S
Aclonica,d,a,A,n,N
Aclonica,e,c,C,o,O
Aclonica,f,k,K,h,H
Aclonica,g,y,Y,c,C
Aclonica,h,n,N,b,B
Aclonica,i,j,J,l,L
Aclonica,j,i,I,g,G
Aclonica,k,r,R,x,X
Aclonica,l,i,I,t,T
Aclonica,m,w,W,n,N
Aclonica,n,v,V,y,Y
Aclonica,o,u,U,d,D
Aclonica,p,r,R,y,Y
Aclonica,q,p,P,a,A
Aclonica,r,n,N,p,P
Aclonica,s,c,C,f,F
Aclonica,t,i,I,f,F
Aclonica,u,v,V,o,O
Aclonica,v,u,U,o,O
Aclonica,w,n,N,v,V
Aclonica,x,k,K,r,R
Aclonica,y,g,G,s,S
Aclonica,z,y,Y,s,S
Acme-Regular,a,n,N,r,R
Acme-Regular,b,d,D,h,H
Acme-Regular,c,r,R,e,E
Acme-Regular,d,a,A,h,H
Acme-Regular,e,c,C,g,G
Acme-Regular,f,r,R,s,S
Acme-Regular,g,s,S,q,Q
Acme-Regular,h,a,A,k,K
Acme-Regular,i,l,L,j,J
Acme-Regular,j,i,I,s,S
Acme-Regular,k,r,R,l,L
Acme-Regular,l,i,I,e,E
Acme-Regular,m,n,N,w,W
Acme-Regular,n,r,R,m,M
Acme-Regular,o,u,U,v,V
Acme-Regular,p,r,R,n,N
Acme-Regular,q,a,A,p,P
Acme-Regular,r,n,N,p,P
Acme-Regular,s,c,C,g,G
Acme-Regular,t,r,R,k,K
Acme-Regular,u,a,A,h,H
Acme-Regular,v,u,U,o,O
Acme-Regular,w,n,N,v,V
Acme-Regular,x,o,O,w,W
Acme-Regular,y,x,X,g,G
Acme-Regular,z,e,E,g,G
Actor-Regular,a,r,R,n,N
Actor-Regular,b,d,D,p,P
Actor-Regular,c,e,E,r,R
Actor-Regular,d,a,A,p,P
Actor-Regular,e,s,S,z,Z
Actor-Regular,f,h,H,k,K
Actor-Regular,g,q,Q,y,Y
Actor-Regular,h,n,N,k,K
Actor-Regular,i,l,L,j,J
Actor-Regular,j,i,I,g,G
Actor-Regular,k,r,R,x,X
Actor-Regular,l,i,I,e,E
Actor-Regular,m,n,N,w,W
Actor-Regular,n,r,R,u,U
Actor-Regular,o,u,U,a,A
Actor-Regular,p,r,R,f,F
Actor-Regular,q,p,P,a,A
Actor-Regular,r,n,N,k,K
Actor-Regular,s,b,B,g,G
Actor-Regular,t,i,I,k,K
Actor-Regular,u,a,A,n,N
Actor-Regular,v,u,U,o,O
Actor-Regular,w,v,V,n,N
Actor-Regular,x,k,K,v,V
Actor-Regular,y,g,G,s,S
Actor-Regular,z,e,E,s,S
Adamina-Regular,a,d,D,x,X
Adamina-Regular,b,d,D,o,O
Adamina-Regular,c,s,S,r,R
Adamina-Regular,d,p,P,b,B
Adamina-Regular,e,c,C,z,Z
Adamina-Regular,f,e,E,h,H
Adamina-Regular,g,s,S,o,O
Adamina-Regular,h,n,N,m,M
Adamina-Regular,i,l,L,j,J
Adamina-Regular,j,i,I,g,G
Adamina-Regular,k,h,H,r,R
Adamina-Regular,l,i,I,z,Z
Adamina-Regular,m,n,N,w,W
Adamina-Regular,n,a,A,m,M
Adamina-Regular,o,v,V,u,U
Adamina-Regular,p,r,R,y,Y
Adamina-Regular,q,p,P,r,R
Adamina-Regular,r,n,N,k,K
Adamina-Regular,s,e,E,c,C
Adamina-Regular,t,i,I,z,Z
Adamina-Regular,u,a,A,v,V
Adamina-Regular,v,u,U,o,O
Adamina-Regular,w,n,N,v,V
Adamina-Regular,x,u,U,o,O
Adamina-Regular,y,g,G,s,S
Adamina-Regular,z,r,R,x,X
AdventPro-Bold,a,d,D,n,N
AdventPro-Bold,b,d,D,s,S
AdventPro-Bold,c,r,R,e,E
AdventPro-Bold,d,o,O,a,A
AdventPro-Bold,e,c,C,z,Z
AdventPro-Bold,f,e,E,i,I
AdventPro-Bold,g,q,Q,o,O
AdventPro-Bold,h,n,N,k,K
AdventPro-Bold,i,l,L,j,J
AdventPro-Bold,j,i,I,g,G
AdventPro-Bold,k,r,R,x,X
AdventPro-Bold,l,i,I,e,E
AdventPro-Bold,m,n,N,w,W
AdventPro-Bold,n,o,O,h,H
AdventPro-Bold,o,u,U,e,E
AdventPro-Bold,p,r,R,f,F
AdventPro-Bold,q,g,G,o,O
AdventPro-Bold,r,n,N,c,C
AdventPro-Bold,s,c,C,g,G
AdventPro-Bold,t,i,I,l,L
AdventPro-Bold,u,v,V,n,N
AdventPro-Bold,v,u,U,o,O
AdventPro-Bold,w,n,N,v,V
AdventPro-Bold,x,o,O,z,Z
AdventPro-Bold,y,v,V,u,U
AdventPro-Bold,z,g,G,e,E
AdventPro-ExtraLight,a,n,N,d,D
